Date,Rating,Title,Content,Pros,Cons
2022-05-23,1,"Had the potential to be a great jobFront End Technician  (Former Employee) - Pittston, PA - May 23, 2022Being a startup plant, everyone is there to climb the ladder.","Aggressively, at any cost to their coworkers. Over the next few years lines will be added and the plant will slowly grow to its full capacity. During that time there will be a lot of advancement opportunities. Until THAT dust settles, what there is is essentially a hyper-aggressive, self-first culture. I was looking forward to being part of helping to develop a culture from the ground up at a new plant. But the reality is most of the people that work there are from the Cascades plant that closed down. Whatever nasty culture they had there was brought to this plant. I was also looking forward to gaining more technical knowledge, compared to what my previous machine-operating jobs had exposed me to. The classroom was fun and elucidating and so was getting some one-on-one with a few engineers here and there. Unfortunately, on the job, you have coworkers who will ""hog"" all the learning opportunities, unless you get really aggressive with putting yourself ""in there."" But I don't want to have to fight to learn. Learning opportunities should be something happily shared by your crew. It's not. Also, the work on the front end can be extremely physical at times. Keep this in mind if they offer to hire you as a front end technician. And it can be stressful as you are expected to tend to a multitude of body makers going down while you're attempting to do whatever mechanical work you may be doing on one machine. And something they won't tell you is, as a front-end technician, about 70% of what you will do during the day is - more...","Great pay, 3 on 3 off schedule without forced overtime, lots to learn if your crew let's you.","Technicians have to cover each other's breaks, sometimes you might not get your third break even if some of your coworkers have, the HR manager is from Cascades and there's a lot of talk about favoritism going on with advancement, the job requires lots of kneeling crawling and climbing up and down stairs"
2022-05-19,5,"Great company!Quality Assurance Engineer (Former Employee) - Westminster, CO - May 19, 2022Great company, laid back culture, just happened to have a manager that was not effective.","If I had a better manager, I think I would have considered becoming a lifer.","Pension, opportunity to travel, Great yearly bonus",Base pay was low
2022-05-12,4,"Great pay, benefits.","Production Technician (Current Employee) - Fort Atkinson, WI - May 12, 2022Good pay (especially at my location,  pay structures differ by location). 3 on 3 off schedule (changes by location) and also the schedule rotates between days and nights which is very difficult. Very few jobs other than basic production jobs so little opportunity to move up or advance career/get a more stable schedule.",Pay,"Schedule, career advancement opportunities"
2022-05-11,5,"Great people Production Technician (Former Employee) - Golden, CO - May 11, 2022Good company.",Great people. They pay well with excellent benefits. Wish I had applied years ago. I could not do the twelve hour shift days one month and nights the next. That's on me.,,
2022-05-03,5.04,,,,
2022-04-24,4,"Decent company to work for if it's a union plant Production Mechanic (Current Employee) - Kent, WA - April 24, 2022A bunch of overtime.","12 hour shifts 4 on 4 off. Management finally seems to have a sense of direction, good pension at the kent location, decent pay.",,
2022-04-23,4,"It was a good work experience but my reason for termination felt one sided and I felt like I was not able to give a seconded chance!Quality Control Inspector (Former Employee) - Golden, CO - April 23, 2022I enjoyed working for ball and the people I worked with made it easy to work there but to be judged by people who work in the office and have no idea of what I did for the company and all the time and effort I put into work and covering for other shifts, to be terminated for something stupid when people who have done much worse stuff still have jobs there.",,,
2022-04-22,5,"Inspire a Positive Corporate Culture and healthy company work environmentOffice Manager (Former Employee) - MENA - April 22, 2022I'm one of the lucky employees who got hired in this generous company that treats the employees with respect.",Compensation and benefits are above the market range.,,
2022-04-20,5,Great company to work for.,"Corporate Quality Engineer (Current Employee) - Westminster, CO - April 20, 2022Great company overall, laid back culture, no complaints. Compensation is fair, three weeks of vacation since 2021. They still offer pension which is a good benefit and the yearly bonuses are very generous.",,
2022-04-16,4,"Great paid and alot of overtimeProduction Technician (Current Employee) - Tampa  - April 16, 2022If you have knowledge of running machine and working on basic machinery you will make more than 6 figures working here and great benefit as well.",A lot of opportunity and advancement….,,
2022-04-12,5,"Productive and exciting place to work, and develop new skills and collaborative work ethics.","Instrumentation and Electrical Technician (Former Employee) - Williamsburg, VA - April 12, 2022As an electrical technician, I was given the room and support to grow and develop my skills. The professionalism is great, and the strong work ethics of other coworkers promotes a reciprocating mind set towards better work relationships.",Great people and environment.,
2022-04-02,5,"Overall great place to workProduction Technician (Former Employee) - Glendale, AZ - April 2, 2022Great people great pay great culture.",One of the best places I have worked ever. Strict rules but they are understanding of most situations. If you get a chance to work for them hold onto it.,,
2022-03-26,1,"Total cult!Warehouser/Lead (Former Employee) - Pittston, PA - March 26, 2022If you are not willing to drink koolaid everyday, don't bother applying.","Everyone out for themselves. Poor leadership from warehouse supervisor. If you like cults you'll love it.ConsCult, back stabbing workers.",,
2022-03-21,3,"It’s used to pay well Prod tech  (Former Employee) - Golden, CO - March 21, 2022Long hours good pay but you’ll end up realizing theirs better out their.",The people here suck. Most of them are toxic very few can be very kind others just don’t even bother. Clock in and go home,Pay benefits,"Toxic employees, environment and culture"
2022-03-18,3,Fast pace decent company.,"Production Supervisor (Current Employee) - St. Paul, MN - March 18, 2022Harsh culture to work with. Single minded union. Lack of support from the top down. Management is always playing from behind and lacks direction from the top down.",Good pay,Work/life balance and lack of support.
2022-03-16,1,Pay is good.,"That is all.Maintainer (Former Employee) - Findlay, OH - March 16, 2022Mandatory OT on top of 12 hour shifts. Poor management. Swing shift is horrible, it's like working in a furnace. They repeatedly bring in poor management.",Pay,Management
2022-03-16,5,"Good people lots of overtime Machinist (Current Employee) - Kent, WA - March 16, 2022If u don’t mine working overtime this place is great other then that they pay really good and people support each other.",The benefits are pretty good,,
2022-03-16,2,"Fun job if you like to be challenged Technician  (Current Employee) - Pittston, PA - March 16, 2022The work and 75% of the workers are better then great.","Upper management doesn't care about anything but numbers.  Not even safety.   If you see something that needs attention you're expected to take care of it.  But whe you do, most of the time you will get in trouble for it.  If you ask upper management for permission,  they would always say ""we'll get to it"" but never happens until someone gets hurt.  But if you don't take of the issue you get in trouble also.  There is no good upper management at least at the Pittston plant.  Coworkers on the floor, and lower management, great people.",,
2022-03-06,5,Great company with supportive co-workers and a clear sense of purpose.,"Software Cloud Engineer (Current Employee) - Broomfield, CO - March 6, 2022Company is wonderful. Really feel like you’re a part of something and not just another cog in the machine. Teams are pretty flexible as well allowing you to work whenever needed to hit your 40 while still working around life.",,
2022-03-04,1,Good pay and benefits.,"Production Technician (Former Employee) - Golden, CO - March 4, 2022This is a great place to work if you’re in debt! Gather as much coin as you can and run! This is a job for the soulless. If you like money but have no life, this is the place for you. You will most likely be working with a angry psycho or a quiet guy who likes to burst out in anger. I think it’s because of the lack of life and soul in them. Good luck!",,
2022-03-01,1,"Horrible management and work environment Maintainer  (Current Employee) - Goodyear, AZ - March 1, 2022Constantly being mandated in on your days off, doesn’t matter what your situation is.","Horrible management, management plays favoritism, coworkers constantly belittling each other. Breaks and lunches denied.",Pay,"No breaks, horrible management, no time off when scheduled"
2022-02-27,5,"Great place to work Journeyman Operator (Current Employee) - Middletown, NY - February 27, 2022Ball is a great place to work but mandatory over time is out of control.",4 on 4 off rotating days and nights is ok. When you add extra days for overtime it takes away life balance. Can't plan for your days off cause you don't know till a day before if you are mandated to work,"Great supervisor, when you do get to have 4 days off that's amazing, I like the rotation of days and nights every 4 days I can make Dr apt on my overnight shifts.","To many mandatory overtime with no way to make plans on your days off, cause they can schedule you 1 day before, So really not having the 4 days off sucks, The pay is ok for the area not great but better than some places."
2022-02-22,5,Productive and a fun place to work.,"Production Technician (Current Employee) - Goodyear, AZ - February 22, 2022Ball is a great place to work, if you have a good work ethic you can go far within the company.  They treat you well and there is plenty of work.  The pay is higher than most places.","Good pay, Plenty of vacation",Lots of overtime
2022-02-18,4,"Productive place to work and you stay busyProduction Technician (Current Employee) - Bowling Green, KY - February 18, 2022Productive place to work and you stay busy.","It’s an extremely loud environment, so you can’t really get to know people as you would at other places. It can also make it difficult when trying to learn new things. Pay is definitely above average for an operator job. Medical insurance is terrible. They do give you $1500/yr for a health savings account, but it still leaves a lot of money out of your pocket to cover up to your deductible. Vacation starting out is about on par with most places, but you can’t roll over to the next year. It can be hard to schedule days off sometimes because as a startup plant, we are understaffed and can only allow a couple of people off per shift. The work life balance is good with a 3 on, 3 off schedule. It may bother some folks to swing days to nights every 6 rotations. But it’s also a fair way of doing things. Overall a good place to work if you want something to keep you busy and make the 12 hour shifts go by fast. HR here is awesome and very helpful, which is a plus after coming from a place where they couldn’t care less. Can’t say much about management as I haven’t dealt with them much. There should be plenty of room for advancement as this is a brand new plant. We are all learning together so there are definitely some growing pains, but should get better with time and experience.","Pay, schedule, room for advancement","Medical Insurance, monotony, can be hard to schedule vacation."
2022-02-04,4,"Productive collaborations of hard working individualsNew Ball Customer Fulfillment Specialist (Former Employee) - Broomfield, CO - February 4, 2022Very well managed training upon initial start time, communication clear & concise, amazing manager guidance with an open door policy and a can do attitude who leads by example.",Support resources are all around as they want to see you succeed not set you up for failure.,,
2022-02-03,1,Very poor the people do not care about you at all.,"They reminded me that every day.Temp. Sorter (Former Employee) - Tampa, FL - February 3, 2022Just a bad place. Was always told how I'm not important since day one and they love seeing g the new faces come and go....  Really made me feel so accepted. That last part is sarcasm.",,
2022-01-25,4,"Good Pay,Overtime.","Too much OT at times.Many jobs to learn.Chemical Operator (Former Employee) - Reidsville, NC - January 25, 2022Good place to work.Company activities,Many jobs to learn.Most of management were helpful.Was very loud and very hot or cold depending on your work area.","Good pay, benefits",Too much oT at times
2022-01-10,5,"Incredible place to be Production Technician (Current Employee) - Pittston, PA - January 10, 2022Absolutely love working here.",3 on 3 off schedule. Excellent work/life balance. Tons of room for growth and potential. Lots a starting vacation. Hard to get in but well worth it,Lots of growth potential. High pay. Easy going Superb management,3 on 3 off schedule can be a turn off for some
2021-12-01,3,"Pay is goodJourneyman Mechanic (Current Employee) - Wallkill, NY - December 1, 2021I believe that most my other coworkers would agree that they are solely at Ball because of the pay rate and that is the only reason.",Harsh working environment coupled with very very troubled management leaders it is great for someone young who can abuse thier body and save money to get ahead.,good compensation,"abusive leadership, 4 on 4 off schedule is rarely 4 off, no real union backed help, moral crushing culture"
2021-11-26,1,"Good pay, poor management, no trainingProduction Technician (Former Employee) - Fairfield, CA - November 26, 2021Their “selling point” for working in Production is 4 days on, 4 days off.","Get ready for the majority of your work weeks to have mandatory overtime, maintenance days, conversion of production equipment, covering for other people’s vacation, (60-72 hour weeks) 7 weeks night shift, 7 weeks day shift, 12 hour shifts. Your sleep cycle will be disrupted, affecting your overall attitude at work. They will tell you they will get you trained in 18-months, that is a joke. I worked there 4.5 years, consistently asking to complete my training. Management turns a blind eye to to focus on making cans. I applied to several other jobs, told “no” to all of them. Very political work environment, they (Fairfield plant) do not care about your credentials, your direct work experience at the plant, or how long you have worked there.i volunteered for several side-projects, none of that helped.   The people that are “liked” get promoted. Very much a “good ol’ boys club”  Fairfield plant has been hemorrhaging top employees since March 2020, lots of new people with little/no experience tasked to run the factory. They do not care about the poor management as long as people buy their aluminum cans. The only good thing they did was offer differential pay during my deployment to the middle-east, but even that was a big fight with HR to prove it was in their corporate policy.",You occasionally get free donuts,Dead-end job
2021-11-05,3,,,,
2021-11-02,3,"Loud, long hours, dangerous, decent pay, opportunity for advancementProduction Technician (Former Employee) - Golden, CO - November 2, 2021The schedule was good in the sense you had 4 days off, but you were also in danger of getting mandatory overtime.","The people are alright, management is poor, pay and benefits are good, a lot of strict corporate policies that is not for everyone.",,
2021-11-01,4,"Great place to workSupervisor (Current Employee) - Goodyear, AZ - November 1, 2021If you have the work hard/play hard mentality then this is a great place for you! You really don't have too many slow days and we definitely see some challenges.",We work well as a team and we are compensated well! I highly recommend.,Great pay/benefits and good people,Long hours sometimes
2021-10-28,1,Productive sometimes fun no just tired some and tired some and headache.,"No good place to workMaterial Handler (Current Employee) - Goodyear, AZ - October 28, 2021Horrible and be traded wouldn't recommend anyone to this job. It's sad how they don't care for the employees that work so hard. Not even real what goes on in that place.",None,Everything u can think of
2021-10-21,1,"Worst place ever! Material Handler (Former Employee) - Pittston, PA - October 21, 2021Ball Corperation was quite literally the worst company to work for.","Yes, it somewhat pays well but everybody else that makes more than you makes sure they rub it in your face. Also, management it horrible. You’re just a number their eyes and could care less if you advance. There’s a huge lack of knowledge on the warehouse side to work efficiently.",Nothing,Schedule/pay/people
2021-10-17,1,"Terrible Production Technician (Former Employee) - Goodyear, AZ - October 17, 2021The machines were easy to work on and interesting g to learn.",The hours sucked cuz it goes from days to graves and graves to days every month. The supervisors especially are pure jerks,Pay/days off,Everything else
2021-10-07,1,"HorribleIndustrial Electrical Technician (Current Employee) - Waddell, AZ - October 7, 2021New plant and the front office acts like this is the first job they ever had.",Don't have the tools or parts to do our job correctly. A lot of back stabbing and retaliation from supervisors.,None,Everything
2021-10-06,1,"Worst job I've ever hadSpecialist (Former Employee) - Westminster, CO - October 6, 2021Horrible culture that does not welcome newbies.",Prepare to feel like an outsider. Training was laughable. You get passed around because nobody has the time to give you the proper training. There is no accountability. People refuse to do their job correctly and pass the buck. Departments are siloed. I hated every single minute at this place. It says a lot when people congratulate you on finding a new job outside the company and then say they hope they're next.,"Pay was decent, but not exceptional.",Everything else.
2021-10-04,1,Wait for startup management to be fired.,"Production Worker (Current Employee) - Bowling Green, KY - October 4, 2021During training in Ohio the company and management seemed to be very good.  The management hired for the bowling Green plant seems to be henkel rejects .  Once they are fired which seeems inevitable from the lack of organization I've seen so far it may be a good place to work.",Check clears,Management and rotating shifts
2021-09-30,2,Good pay/tough conditions Production Worker (Current Employee) - St.,"Paul, MN - September 30, 2021None environmentally controlled factory, normal 20° hotter then outside. Production  workers are great to work with but management needs a lot of help.",,
2021-09-28,4,Very good pay and benefits.,"Machine Operator (Former Employee) - Middletown, NY - September 28, 2021They have a great benefit plan and cery good pay for the area. It's a union job so their are proos and cons in that aspect. Overall not a bad place to work if you can handle swing shift work.",Good pay and benefits,12 hoyr swing shifts
2021-09-27,5,"Interesting learning experience learned alot in my short time being there Line Mechanic can assembly  (Former Employee) - DeForest, WI - September 27, 2021Loved the job I was hired for .",They throw alot at you to learn  an it may seem overwhelming at first but after you are there for  while if you are a fast learner an mechanically inclined it becomes easy work . Every day  is different an every day u learn something new an  the time goes bye  fast an management does a good job making sure u feel at home I had a warm welcoming an a great experience.. long hours 12 hours a day 4 days on 4 days off the schedule moves up a day each week my personal experience I loved the job but that was me I left cause I wanted to go back school an weekends didn't work for me in the summer but it was the first place I ever worked where a person gets recognized for hard work an just doing there job great people an they care about there employees...an have no problem letting u work all the time if u need more training etc on your off days,Free lunches . 4 days off if your not forced . Great pay an benifits paid weekly,Great pay .great people . Make something cool .. work on one of kind machines
2021-09-26,1,"Golden handcuffsIndustrial Electrician (Current Employee) - Waddell, AZ - September 26, 2021Golden handcuffs is how it was put to me.",This place sucks In many ways but most are paid too much to leave. There is no training so everyone expects sparkie to fix their machine and teach them to run it. Chiefs equipment maintainers have no clue how to work on the equipment so as an electrician you have no help. Which wouldn’t be bad my partner and I are excellent electricians and keep the plant running but management will not support you at Glendale,Challenging work,Politics no support from management
2021-09-16,3,,,,
2021-09-15,1,The pay is great but that is about it.,"The company changes our work hours quite often.Mechanic (Current Employee) - Chestnut Hill, TN - September 15, 2021Working there is like your in prison. Simple mistakes are dealt with harshly. A lot of people are working 72 hours a week.stress levels are out the roof. Older experienced employees are quitting or retiring because of all the bs.",Pay,"Healthcare, micromanaging, long hours."
2021-08-27,3,"A lot of OTProduction Technition (Current Employee) - Goodyear, AZ - August 27, 2021No work life balance.",It’s always hot and no a/c at all. Sometimes they bring in food if you set records . Management try’s to help you out when you need it. You need your own tools to complete work.,,
2021-08-25,5,"Great job Production Mechanic (Former Employee) - Wallkill, NY - August 25, 2021Great job but I can’t work a swing shift for the next 30 years ! Work 4 days have 4 days off then back for 4 nights.",I believe this schedule is detrimental to your health. Money is great benefits are terrible but you can easily make 100k so it’s alright.,Great pay,Rotating days & nights
2021-08-24,5,"ball was great to work Printer Operator (Former Employee) - Reidsville, NC - August 24, 2021wish they couldve stayed but they shut the doors after 18 years.",great company to work for and pay was nice in this economy. healthcare was really great,pay and vacations and healthcare was greater than any where i ever worked,closed the facility
2021-08-24,2,"Limited advancement, nepotism, and a lack of vision Production Associate (Former Employee) - North Canton, OH - August 24, 2021Management seemed less interested in getting the company productive, and more interested in getting their incompetent friends in supervisory roles.",Half of management themselves were friends of friends.,"Cookouts, sometimes",You never knew your schedule more than 3 days in advance.
2021-08-17,3,"Lots of mandatory overtime Production Technician (Current Employee) - Golden, CO - August 17, 2021Overall not a bad job if you're willing to dedicate the majority of your life to it.",I find switching between day and night shift difficult especially with how much overtime you're forced to work.,Compensated well,Too much overtime/poor managment that is constantly changing
2021-08-13,5,"Top notch support structure Plant Production Manager (Current Employee) - Kent, WA - August 13, 2021I enjoy working with Ball, clearly a great place to work.",The company gives you proper training and ensure that you have tools to succeed.  Manage has been superior and sets clear expectations.,Support and opportunity,Old equipment
2021-08-12,5,"Just started working hereBusiness Data Analyst (Current Employee) - Broomfield, CO - August 12, 2021Very smooth interview and hiring process.",Background check and drug test very streamlined. Great pay and benefits. I have many acquaintances working here or at a different location and they say the same thing.,Great Pay and benefits,None yet
2021-08-06,4,"Great environmentEngineer (Former Employee) - Broomfield, CO - August 6, 2021Challenging and yet rewarding projects.",Everyone is always willing to help. The company is also family oriented and gives you flexibility when the need arises.,,
2021-07-25,1.04,,,,
2021-07-19,3,The Only good thing about working there is the MONEY.,"That's it. Period.Production Process Technician / Quality Assurance Inspector (Former Employee) - Virginia - July 19, 2021The Ball experience can be very profitable. But, all that you gain in money, you lose in Family Time. The work conditions are absolutely horrible. There is No Air Conditioning in the work area. So, the summers are absolutely brutal. Matter of fact, it's hot in the plant long before actual summer arrives. The humidity is very high year round. The hours are long & hard. You EARN EVERY dollar that you make on that Big paycheck. If you are a person who is ALL About The Money above all else, this is the job for you. The pay is one of the few benefits of employment. This is not a job for family oriented people. The hours are very long & your days off are ALWAYS at risk due to company demands.","Very Good Money, Days off during the week............. if you can actually get them","Horrible working conditions ( Extreme HEAT ), Unsafe environment, limited job training & limited employment advancement possibilities"
2021-07-17,4,"Decent pay, too much overtimeMaintenance (Former Employee) - Fairfield, CA - July 17, 2021Good old boy culture when I was there.","If you did favors for the Plant Manager on the weekends, you'd get the promotion. Skill set never mattered.  Different Manager now so things may have changed.",,
2021-07-17,3,Place is terrible to work for.,"Palletizer (Former Employee) - Phoenix, AZ - July 17, 2021Toxic environment. Air quality is poor. In the summer temperatures reach above 100. Very dirty and unsafe. I believe everyone is unhappy that’s been there for more than three years. Above all the management sucks. They no clue what’s going on or how to run the plant.",Pay,Heat stress
2021-07-04,2,"Money is good, culture is the worst ive been a part ofProduction supervisor (Current Employee) - Saint Paul, MN - July 4, 2021Never try and supervise a union.","I've been part of a union my whole life until i took a production supervisor position. The day i did that, I put a target on my back. The union is childish, disrespectful, dis honest, and in my opinion is running the plant into the ground. the writing is on the wall. If somehow this plant survives the for the long haul... the money is pretty good. Its really the only reason most people stay.",Pay,Union leadership
2021-07-02,5,"Expectations are clearly defined Industrial Maintenance/Maintainer (Current Employee) - Milwaukee, WI - July 2, 2021This is a finely tuned machine.","All it's working parts are in order. This is a high speed , high volume processing plant. Team members depend on each other to be on time for your shift.",Lunches are catered often. Information is shared by management to create a well informed crew.,
2021-06-12,1,The absolute worst run company ever.,"Management cares about one thing, profitsPress Operator (Former Employee) - Verona, VA - June 12, 2021This is the most in your face job with horrible working conditions and required overtime because no-one wants to be there. No management help on the weekends and then you are beat up for the results come Monday. Stay clear as you will just quit.",none,everything
2021-06-10,4,"Excellent training and purposeProduction Technician (Current Employee) - Pittston, PA - June 10, 2021Management treats you as if you are all on the same team.",They give you the proper training that is needed and treat you with respect.  This leaves you with a sense of purpose and desire to do a job well done,,
2021-06-09,4,"Good place to workAdjustor (Former Employee) - Reidsville, NC - June 9, 2021Overall good company to work for.",Good pay and benefits.  Good work schedule 4-4. Good management.Low turn-over rate. There was overtime if you wanted it.,Free Coffee,
2021-06-08,3,"Closed down End tech (Former Employee) - Bristol, VA - June 8, 2021Move to Mexico.",But was not bad place to work at. Good people. Good pay and vacation. Management was ok. Benefits were also pretty good. Would have been better if they would have stuck around.,Good pay,Shut down
2021-06-01,4,"Fast pacedProduction Worker (Current Employee) - Golden, CO - June 1, 2021Overall a good company to work for.","The swing shifts get old but they compensate by paying great.  They have a pension, 401k and stock plan. Overall I would recommend to a friend",Pay,
2021-04-28,2,"no flexability for appointmentsPalletizer Operator (Former Employee) - Hilliard, OH - April 28, 2021no support from management for abusive employees.",hr changes policy to suit there needs. no written hr policies so you are screwed if they dont favor you.,Days off,rigid structure at work station
2021-04-21,3,"Great pay if you never want to see your familyPress Maintainer (Former Employee) - Hilliard, OH - April 21, 2021The people you work with on the floor are great, but the hr and upper management don't give a darn(edited for indeed) about anything but the bottom line.","There is no consideration for home life, you will be forced for overtime when ever they want no matter what, even on that very last day of your work rotation. They will even force you in before and after your vacations(the latter with it telling you, and still try to give you attendance points for it.) If you're not certain colors HR will do nothing for you, but if you are they tend to bend over backwards even at the cost of other employees.","Good pay, decent benefits, great knowledgeable people to work with and learn from","Bad leadership, forced overtime without notice, no home life"
2021-04-13,3,If your over 30 this place will kill you.,"The line for advancement is so long you will never advaneProduction tech (Current Employee) - Rome, GA - April 13, 2021People less qualified are in the maintenance and electrician positions. All the easy jobs are given to the senior team members regardless of age. If your over 30 look elsewhere. The job is physically demanding, hurts your knees hips and back. They tell you last minute when your forced to work o.t. I still work there but trying to find something else. They say when you start you move up fast but there are a lot of people there who have been there 10 years and not moved up.",Good pay. Everyday is 4 hrs ot,"Very rarely get breaks or lunch. I usually get lunch after 8 hrs of work, and don't get my other 2 breaks"
2021-04-07,3,"Not funManufacturing Maintenance Technician (Current Employee) - Phoenix, AZ - April 7, 2021Stay away.",Everything is broken. Not seeing the Phoenix plant staying open much longer. Management doesn’t have an idea of the aluminum can business. There isn’t any leadership. I believe they just hired whoever since the plant is closing.,,
2021-02-22,1,"free lunchesEmployee  (Former Employee) - Canton, OH - February 22, 2021If your not on the buddy system, then you will go no where in this company.",Manager doesn't delegate work unless your their pet. This place is a dead end.,Free food,poor management
2021-01-20,3,"Interesting workplace Production Worker (Former Employee) - Lakewood, CO - January 20, 2021Let me start off by saying that this is a very inclusive job.","Meaning that the people that work here, have been in the company for years. They seem to be very judgmental towards outsiders. As, I no longer work here I would recommend this job, to people whom are looking for a career for the rest of their working lives. This business pays really well, but it is a very demanding job. They work a rotating schedule and expect a lot from the employees. I was a temp and I was making a decent amount less than the full time employees (17.50/hr). There are many different reasons why I quit this job. The employees are very cutthroat, management is incredibly strict, and the job schedule is for someone who is completely dedicated to working on their career with the company.","Great benifits, paid lunches, great job security.","No smoking on job site, cutthroat work environment, strict management."
2021-01-12,5,,,,
2020-12-18,2,"They don't care about youProduction Technician (Former Employee) - Golden, CO - December 18, 2020They don't care about what is in the employees best interest.","There has been over 20 people out with COVID-19 and they have not protected those that are still expected to work 70+ MANDATORY hours a week. They have no regard for extreme heat of 90+ degrees for 12 hour shifts. They don't provide sick pay and if you are sick you get points. Those points determine your status and your eligibility to be promoted. They have employees that were promoted even though several employees submitted complaints against them. Complaints that would get a person fired anywhere else. There is a lot of favoritism and your status isn't based on your abilities and the value you bring to the company. Your status is based on how close you are to someone's butt. Although the pay is good, you work hard for every cent that is given. Those that aren't favorites are afraid to say anything negative for fear they will be retaliated against. Because retaliation is a widely known thing there. I want to have a long career in a position that I can bring value using my exceptional skills and talents. A company this big should care about that. Employees don't ask for much but put up with a lot from the inexperienced chiefs and management. One thing that could help make this a better place is if they just cared more about their competent employees and stopped hiring incompetent people. That doesn't show equality! You can't pay someone that has mechanical experience and skill, and can manage all aspects of the job and pay the same to someone who admittedly doesn't have any mechanical experience nor any desire to - more...",Some good people that work on the floor. Good pay (even though you work hard for it).,"hiring people that shouldn't be working in that field just to say they have equality, One month of days and then one month of nights, extremely high expectations, low morale, passive attitude towards employee complaints"
2020-12-16,1,"Stay away from Ball if you are pursuing a salary positionSalary (Former Employee) - USA - December 16, 2020Ball is seemingly a great place if you're an hourly employee.","Management does not have the best interest of their salary employees. Only if you are one of the select few, will you be able to have a decent work environment. If not, prepare to be berated, forced to basically live at the plant, be micro managed, spend your work day in meetings that could be emails. These woes are rampant throughout the BPNCA network. Also, unless you're a divisional level employee and up, you won't be able to work from home even if your job duties are conducive to you working from home. Save yourself the grief, and stay away from Ball.",Stable industry,Everything else
2020-12-13,4,"Good place to work Plant Equipment Operator (Current Employee) - Kapolei, HI - December 13, 2020Good place to work, can get stressful.","Wish I had more training to succeed at my position. Gotta watch for jams, clean machine, and also log can quality and rejects. So yeah can get a bit overwhelming when everything is happening at once","Good pay, good people","Hot, and minimum training"
2020-11-07,3,"Good payPress Operator (Current Employee) - Verona, VA - November 7, 2020I feel that ball is a really good company to work for.",That lack in some areas like hiring managment from the out side insted of with in but I think the pay in benifits are really good.,Good pay and benifits,Short breaks
2020-10-05,1,"Pay not worth the abusefront end maintainer skilled (Former Employee) - Monticello, IN - October 5, 2020Managers poorly trained and visionless.","Management not interested in improvement in quality and efficiency, but rather recording everything they can that can deflect blame to the hourly personnel and create a file that can protect the company from future litigation.  You might get fired for something that you did wrong five or six years ago especially if they have a personal vendetta toward you without cause. Work is very fast paced and never time studied so everyone is pushed beyond physical limits and bullied if they take time to do a good job. Safety reports are frequently falsified to avoid fine or retaliation. 12 hour shifts are rotated causing increased injury incidents due to reversal of sleep roles. Pay is above average and that is the only thing that counters the terrible abuse",,
2020-09-28,2,"decent pay but not great for women Operator (Former Employee) - Golden, CO - September 28, 2020really hot environment and very damaging to your ears if not careful, 3 months here and my hearing never recovered, a man's world here they see women as inept and lacked to train me better than the male employees.",Would not recommend no fixed schedule always switching shifts and workdays so awful I had no life for 3 months.,decent pay,Everything
2020-09-28,5,"Stabile companyContinuous Improvement Specialist (Current Employee) - Belgrade, MT - September 28, 2020Love to work here, it is an old company with good values and ethics.","A lot of opportunities to grow. As a part of global team a lot of travel , meeting great people and seeing how 180 Plants across the world works","Bonus, Business class travel",Slow in implementing changes
2020-09-19,5,"Great work environmentBody Maker Operator (Former Employee) - Phoenix, AZ - September 19, 2020I miss working there.","The people were all willing to help me to succeed at my job. The close knit family like environment was a nice change from where I came from previously. Given the chance I would work there without hesitation, benefits were phenomenal, pay was ridiculous, there was no cap on overtime. The job was easy.",You will make a ridiculous amount of money if you work hard.,12 hour rotating shifts
2020-07-31,4,,,,
2020-07-15,3,"Work place is casual, kind of laid back.","Order Fulfillment Assistant (Current Employee) - Westminster, CO - July 15, 2020The hardest part of the job is learning how to use the JDE system. It isn't very user friendly and it seemed when I needed help to do something in JDE, no one was there to help.",Good Pay,Supervisor does not communicate needs to employees..
2020-07-13,5,"Good placeMaintainer (Former Employee) - Milwaukee, WI - July 13, 2020Working for this company is very intense physically and mentally.",It challes you and brings out the best in people. The people and the management are very attentive and helpful.,Great people,Different type of schedule
2020-05-20,5,"hard work but worth the payMachine Apprentice/Mechanic/Set-up (Former Employee) - Dandridge, TN - May 20, 2020I really enjoyed working there at first for many years the people was great i got along with everyone there.",some of management was hard to adapt to but i never had an issue with anyone. I did my job and came home,,
2020-05-18,4,You get out of this job as much as you put into it.,"Production Technician (Current Employee) - Golden, CO - May 18, 2020Although we are scheduled to work 12 hour days/nights we do not work alone or at a grueling pace although keeping machines running at production speeds is stressed.  Breaks are generous and there is a lot of automation.  4 day work week with 4 day weekend unless working OT.  Good place to work if you don't mind working for your pay.  Always learning as you work.  Plant manager is on track.  RespectCrew Supervisors and Chiefs vary considerably due to their lack of management experience and willingness to help out on the floor.  Many times they are very talented mechanics with a lot of experience on the machinery.  They are men who have been promoted from the floor.  It is my opinion that they should be required to ask HR for advice in all employee grievance situations. We are not paid for any days we are sick.  On the contrary we are penalized with points and could lose our job.  I understand the necessity of a strict attendance policy but I also feel that there should be written exceptions and pay if you are sick.  The points are fine for keeping track.","Good Benefits, Great Retirement Possibilities, learning opportunities.",No sick days!!!!!!! Crew management does not have management knowledge.
2020-05-10,2.012,,,,
