advice,cons,countHelpful,countNotHelpful,date,Date,employmentStatus,id,isAnonymousEmployee,isCurrentEmployee,isLegal,jobEndingYear,jobTitle,lengthOfEmployment,location,pros,ratings/0/rating,ratings/0/title,ratings/1/rating,ratings/1/title,ratings/2/rating,ratings/2/title,ratings/3/rating,ratings/3/title,ratings/4/rating,ratings/4/title,ratings/5/rating,ratings/5/title,ratings/6/rating,ratings/6/title,reviews/0/isOK,reviews/0/title,reviews/1/isOK,reviews/1/title,reviews/2/isOK,reviews/2/title,title,type,url
"Replace the CIO. He's a horrific manager who is egotistical, derisive, and blind to researched facts & opinions that don't coincide with his agenda. Many staffers and plant personnel would do anything for this company, but no longer believe management feels the same.",Employee loyalty and length of service is not rewarded. New breed of executives are mostly concerned about themselves and not the company. Major effort underway to get rid of longterm employees over 50. Middle managers are often stressed out and worried about their jobs. Decisions are often made for CYA purposes.,7,0,2013-01-07T17:40:35.873,2013-01-07,REGULAR,2259116,FALSE,TRUE,TRUE,,IT Professional,20,"Broomfield, CO","The company has decent benefits and fair salaries including a pension plan. Most management is great to work for. Pleasant work environment with lots of great people. Generally nice facilities. Many staffers love the company and treat it like their own. If you're under 50, it can be a great place to work.",4,Work/Life Balance,4,Overall,4,Culture & Values,0,Diversity & Inclusion,2,Senior Management,3,Career Opportunities,4,Compensation and Benefits,TRUE,Recommend,FALSE,CEO Approval,TRUE,Business Outlook,"Good company, but there's concern about its direction.",review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW2259116.htm
My advice to management at the corporate level is to come in and clean house. Your management is inexperienced and its affecting the overall performance of the plant. There is no real leadership whatsoever. The issues begin at the top. There's a reason the place is running badly and why employees aren't coming to work. What used to be an enjoyable place to work is not anymore.,"Management seems to be made up of the slackers and brown nosers that worked the floor. Poor, almost non existant training plan for new employees and newly promoted emloyees. Upper management performs smoke and mirror show to make employee opinions seem valued when really they're not. To me management should discipline AND back their employees when needed but that's not the case. They try to stab you in the back any chance they get. Supervisors lie to the employees. VP has been to Monticello multiple times this year and blamed the poor plant performance on management and not the hourly employees but still no action has been taken to fix this. Management continues to run the plant into the ground. Employee morale is at an all time low. High percentage of hourly employees have an I don't care attitude. Cost of benefits to the employee rises as benefits go down. Rotating shifts every 4 months. Lots of OT whether you want it or not.",5,0,2016-09-28T08:30:01.033,2016-09-28,REGULAR,12104177,TRUE,FALSE,TRUE,2016,,4,"Monticello, IN",Decent salary but they only pay that because no one would work there for less and put up with what is going on in Monticello.,2,Work/Life Balance,1,Overall,2,Culture & Values,0,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,,CEO Approval,FALSE,Business Outlook,Monticello is going down the drain,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW12104177.htm
,"Back stabbing, management acts like its their first job ever.",0,0,2021-10-07T17:20:07.737,2021-10-07,REGULAR,53689891,FALSE,TRUE,TRUE,,Industrial Electrical Technician,2,"Waddell, AZ",None comes to mind sorry,1,Work/Life Balance,1,Overall,1,Culture & Values,1,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,Horrible,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW53689891.htm
,"Crazy hours, too much OT, poor safety record.",0,0,2021-07-08T08:10:47.140,2021-07-08,REGULAR,49487740,FALSE,TRUE,TRUE,,Maintainer,0,"Monticello, IN","Pays very well, good benefits.",0,Work/Life Balance,3,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,"Good Money, Crazy Hours, Too Much OT",review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW49487740.htm
"Some of the managers could've been more relax, meaning don't hound the maintenance guy while he's working on the machine, because no one wants to leave the lines down more then we have too. That's where the money's at. Yes it gets stressful at time, but not making it any better by putting pressure. Overall, everyone was trying to do their job and it's understandable they'll be days of frustration.","Well can't really say there's a con, because in my opinion, I'm there to work, so have to do what I am told to do. Yes there are days that kinda wore you out and days that are smooth sailing. It's a good place to work and it pays the bills. Main con is that it shut down. I would've have stayed there if it wasn't shut down",0,0,2015-05-10T06:20:07.023,2015-05-10,REGULAR,6559176,FALSE,FALSE,TRUE,2011,Maintenance Mechanic,20,"Elgin, IL","Started out there when it was US CAN. Enjoyed working with friendly people. Pay was good, benefit was good. Pretty good environment to to at.",4,Work/Life Balance,4,Overall,4,Culture & Values,0,Diversity & Inclusion,4,Senior Management,4,Career Opportunities,4,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,maintenance mechanic,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW6559176.htm
,A little mismanaged at times,0,0,2023-06-16T11:06:36.103,2023-06-16,REGULAR,77449492,FALSE,TRUE,TRUE,,Electronics Technician,2,"Rome, GA","Great pay, great benefits, easy work.",3,Work/Life Balance,4,Overall,4,Culture & Values,4,Diversity & Inclusion,3,Senior Management,4,Career Opportunities,4,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Good place to work,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW77449492.htm
,"Rotating schedule , 12 hour shifts",0,0,2023-06-14T07:16:41.400,2023-06-14,REGULAR,77367922,FALSE,TRUE,TRUE,,Maintainer,4,"Wallkill, NY","Health benefits, pension, 4 days off",0,Work/Life Balance,4,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Good benefits,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW77367922.htm
Work culture stinks.,Hard to work with this people. A lot of racism and discrimination to minorities,0,0,2023-09-21T21:51:24.963,2023-09-21,REGULAR,80307787,FALSE,TRUE,TRUE,,Production Technician,4,"Golden, CO","Good salary, good benefits, 401k",1,Work/Life Balance,1,Overall,1,Culture & Values,1,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,,CEO Approval,,Business Outlook,Work environment sucks,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW80307787.htm
,long hours and swing shifts,0,0,2023-06-04T05:31:40.983,2023-06-04,REGULAR,77054531,FALSE,TRUE,TRUE,,Maintainer,9,"Findlay, OH",Has great pay and benefits,3,Work/Life Balance,5,Overall,4,Culture & Values,5,Diversity & Inclusion,3,Senior Management,4,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,,CEO Approval,TRUE,Business Outlook,Great job but it's not for everyone,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW77054531.htm
,The pace of work wasn't fast enough for me. There's a lot of bureaucracy that slowed down my progress and ability to contribute. The approval process was awfully slow.,0,0,2023-02-22T13:55:06.710,2023-02-22,REGULAR,73881959,FALSE,FALSE,TRUE,2022,Business Analyst Intern,0,"Westminster, CO",Got pretty solid pay. Learned some cool things from their training materials even though there might've been a bit too much just for a summer internship. Also got to really take cntrol of a project and felt trusted to carry out research and meet with colleagues without any supervision whatsoever,3,Work/Life Balance,4,Overall,4,Culture & Values,5,Diversity & Inclusion,3,Senior Management,4,Career Opportunities,5,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Slow Pace of Work,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW73881959.htm
Better communication. Hire more production crew.,Skeleton crew. Forced overtime. Bad communication with management. Poor building ventilation.,0,0,2023-07-11T20:20:35.563,2023-07-11,REGULAR,78168876,FALSE,FALSE,TRUE,2023,Production Operator,9,"Saint Paul, MN",Great pay. 1.5x pay after each 8-hour shift in a 12-hour work day. Better pay structure if working OT.,2,Work/Life Balance,2,Overall,2,Culture & Values,5,Diversity & Inclusion,3,Senior Management,3,Career Opportunities,4,Compensation and Benefits,FALSE,Recommend,,CEO Approval,,Business Outlook,Equipment &amp; machine operator,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW78168876.htm
None,Plant out in the sticks,0,0,2023-04-30T05:55:26.650,2023-04-30,REGULAR,75974254,FALSE,FALSE,TRUE,2019,Shift Supervisor,0,"Danville, IL",Great people to work with,0,Work/Life Balance,4,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Was good work environment,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW75974254.htm
I shared plenty of that while I was still with the organization.,"-Major office politics played throughout the Packaging Division of Ball (can't speak to Aerospace or Aerosol). Will remind you of high school. -The epitome of ""this meeting could have been an email"" -Extremely inefficient at every level: inaccurate and incomplete data, stored in poorly integrated platforms, that are not being utilized properly ensure that this company will forever be cleaning up their messes and failing to actually perform efficiently and as sustainably as they should be. -Arrogance and shortsightedness in upper management has left the lower levels of the corporation without faith or trust in leadership. This, paired with slow and painful changes makes the day-to-day a draining and unfulfilling experience -Promotions seem very slow and unlikely given the poor financial performance of the organization (the financial opinion shared here is based off public-facing information and stock performance). -Lots of chaos over the entire 2 years and 4 months I was there. From changing systems abruptly, to layoffs, to leadership that sets lofty goals and then take many months sometimes several quarters to greenlight the launch of completed projects (and thats only if other changes in the organization havent negated all the work before they decide to review it). -Extremely poor communication from the top down, always feels like leadership is giving the state of the union address to a nation rather than truthfully and genuinely addressing a crowd of a few dozen (or few hundred) employees -They claim to be ""one big Ball family"" but it's a pretty pretentious and unproductive family, not necessarily one you'd want to celebrate the holidays with.",4,0,2023-03-13T13:06:14.647,2023-03-13,REGULAR,74471237,TRUE,FALSE,TRUE,2022,,2,"Westminster, CO","-Decent benefits package (cigna insurance, 10 days PTO/6 sick days/3 floating holidays, gym and cafeteria at the main office). -Access to online training database and LinkedIn Learning -Product can be interesting if you are a canned beverage enthusiast -Focus on sustainability",4,Work/Life Balance,2,Overall,1,Culture & Values,2,Diversity & Inclusion,1,Senior Management,2,Career Opportunities,4,Compensation and Benefits,FALSE,Recommend,,CEO Approval,FALSE,Business Outlook,"Outdated policies, processes, and culture",review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW74471237.htm
,"1 month days, 1 month nights schedule. Promotions are no longers quick. Many who have not retired in the last 5 years have taken the positions of those who have and are not going anywhere for the next decade or two.",0,0,2023-05-15T06:00:59.690,2023-05-15,REGULAR,76432718,FALSE,TRUE,TRUE,,Production Technician,0,"Golden, CO",4 on 4 off schedule 12 hour days. Somewhere around $30/hour to start. Okay benifits.,3,Work/Life Balance,3,Overall,2,Culture & Values,4,Diversity & Inclusion,2,Senior Management,2,Career Opportunities,3,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,No where else to go? Go here.,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW76432718.htm
,Industry Long Hours Pay Con,0,0,2023-04-25T10:05:31.587,2023-04-25,REGULAR,75822861,FALSE,FALSE,TRUE,2022,Quality Assurance Engineer,0,"Westminster, CO",Environment People Benefits Work-Life Balance,0,Work/Life Balance,4,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,e,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW75822861.htm
"Keep on the same track we are on, love the communcation we are now seeing",Sometimes seemed like we did not want to make changes,0,1,2013-02-12T10:51:17.653,2013-02-12,REGULAR,2363180,TRUE,TRUE,TRUE,,,20,"Broomfield, CO","Great company to work for, like the direction we are heading",4,Work/Life Balance,5,Overall,4,Culture & Values,0,Diversity & Inclusion,4,Senior Management,4,Career Opportunities,3,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Excellent,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW2363180.htm
Keep doing what you're doing it works.,"After,  working for lower paying,  less benefits companies,  I have no cons",0,0,2015-12-27T23:20:19.557,2015-12-27,REGULAR,9011442,FALSE,FALSE,TRUE,2012,Material Handler,0,"Conroe, TX",Excellent benefits and retirement package.,3,Work/Life Balance,4,Overall,4,Culture & Values,0,Diversity & Inclusion,4,Senior Management,4,Career Opportunities,4,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,A good place to work.,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW9011442.htm
Think about where this company came from and the morals in which it was built  on.  Worry less about that next quarterly report and do things the right way again.,"Unstable workplace.  Outsourcing offshore many jobs.  Ball no longer values it's loyal employees.  Current CEO lies when he speaks about the ""Ball Family"" and the company values.",8,0,2018-08-18T14:48:02.397,2018-08-18,REGULAR,22037476,FALSE,TRUE,TRUE,,Systems Administrator,20,"Westminster, CO",Benefits are pretty good and the pension is a real plus.,3,Work/Life Balance,2,Overall,2,Culture & Values,0,Diversity & Inclusion,1,Senior Management,2,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,,Business Outlook,Company on it's way downhill,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW22037476.htm
None,"Location, schedule rotations, 12hr shifts can seem to last forever",2,0,2020-09-22T16:42:32.410,2020-09-22,REGULAR,36251136,FALSE,TRUE,TRUE,,Electronics Technician,2,"Fort Worth, TX","4/3 schedule, good benefits, managment is fair",4,Work/Life Balance,5,Overall,5,Culture & Values,0,Diversity & Inclusion,4,Senior Management,5,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Great Job,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW36251136.htm
,There are no cons yet,0,0,2020-12-14T08:15:32.843,2020-12-14,REGULAR,39463128,FALSE,TRUE,TRUE,,Manufacturing Process Engineer,1,"Monticello, IN",Company is making great strides to improve there benefits and the work environment isn't stressful. Very understanding and accommodating staff.,5,Work/Life Balance,5,Overall,5,Culture & Values,3,Diversity & Inclusion,3,Senior Management,4,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,,CEO Approval,TRUE,Business Outlook,Great company with great benefits,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW39463128.htm
"Get a system that works and train employees better. Get better production systems. Would bother managers at all times of the day when problems arise, which was often. Need to develop a better work/life balance issue for people and care about their employees more.","Poor management in plant. Corporate and lower management didn't work well together. Turnover on management employees was ridiculous. Instead of fixing problems with the system, they fired or moved the employees.",0,0,2014-07-31T13:25:56.330,2014-07-31,REGULAR,4692011,TRUE,FALSE,TRUE,2010,,4,"Weirton, WV",Pay was decent for market area. Good people to work with. Good benefits.,1,Work/Life Balance,2,Overall,2,Culture & Values,0,Diversity & Inclusion,3,Senior Management,3,Career Opportunities,4,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,"Good People, Poor Management",review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW4692011.htm
See you in court.,"DO NOT WORK HERE! HR falsely accused me of something I did not do and failed to prove anything whatsoever after firing me. We now have to get a lawyer and take them to court to fight the case. Rotating night and day shifts destroy employees overall health and HR has not one care in the world about it. Horrible management, one of the worst possible places for employment. If I could chose less than one star, I would.",0,0,2016-12-23T15:36:27.120,2016-12-23,,13092889,FALSE,FALSE,TRUE,2016,Production Technician,4,"Golden, CO","Pay, four days off",1,Work/Life Balance,3,Overall,1,Culture & Values,0,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,1,Compensation and Benefits,FALSE,Recommend,,CEO Approval,FALSE,Business Outlook,HORRIBLE LYING HR DEPARTMENT,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW13092889.htm
Get aligned and focus on productive culture,Closing plant and moving to a  more favorable tax base location,0,0,2017-03-13T06:10:24.483,2017-03-13,REGULAR,14159764,FALSE,TRUE,TRUE,,Group Leader,20,"Weirton, WV","Great earning potential, support, professionalism and fairness",3,Work/Life Balance,4,Overall,1,Culture & Values,0,Diversity & Inclusion,3,Senior Management,2,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,,CEO Approval,,Business Outlook,Coil Line Operator/Group Leader,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW14159764.htm
Hire management that knows whats going on!!!!!!!!,Management did not know anything about printing that's why they closed the plant!!!!!,0,0,2013-08-21T14:48:17.790,2013-08-21,REGULAR,2961387,FALSE,FALSE,TRUE,2013,Pressman/Coater Operator,20,"Elgin, IL","Very good wages,good people to work with.",0,Work/Life Balance,4,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Pressman/Coater Operator,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW2961387.htm
,there is no cons for this company,2,0,2018-01-30T17:48:18.393,2018-01-30,REGULAR,18996670,FALSE,TRUE,TRUE,,Front End Mechanic,2,"Chatsworth, CA","good benefits , a lot of overtimes",5,Work/Life Balance,5,Overall,5,Culture & Values,0,Diversity & Inclusion,5,Senior Management,5,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,excellent place to work,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW18996670.htm
Invite more questions to the table on the major projects otherwise costly mistakes will happen.  Remember the Ball Values is what makes the company strong.,Recent changes in the food can market has made for hard economic conditions in that division.  Layoffs and management changes have damaged the trust between the company and the high performers.  Some decisions are focused more on cost cutting versus supporting a growth mind set to get past the economic challenges currently in the marketplace.,2,0,2016-02-23T19:50:08.237,2016-02-23,REGULAR,9679830,TRUE,FALSE,TRUE,2015,,9,"Westminster, CO",It is a fast growing company with a global footprint.  You will get the opportunity to work with a very diverse team in any division you are part of.  It is one of the few companies where you can use the products in everyday life from a can of beer or soda to spraying deodorant as you get ready for work.,3,Work/Life Balance,3,Overall,5,Culture & Values,0,Diversity & Inclusion,2,Senior Management,4,Career Opportunities,4,Compensation and Benefits,FALSE,Recommend,TRUE,CEO Approval,,Business Outlook,Director,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW9679830.htm
Get more young blood in your environment. Remove your super professional outlook and modernize yourself before you fall behind morale wise.,Management is constantly fighting over who is right rather than working together to offer solutions.,8,0,2017-07-02T00:36:04.347,2017-07-02,REGULAR,15718132,TRUE,TRUE,TRUE,,,4,"Broomfield, CO","The atmosphere is pretty great, the benefits are also a great reason to stay around. Sometimes they throw events.",5,Work/Life Balance,4,Overall,2,Culture & Values,0,Diversity & Inclusion,3,Senior Management,2,Career Opportunities,4,Compensation and Benefits,TRUE,Recommend,,CEO Approval,FALSE,Business Outlook,Looks bleak....,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW15718132.htm
"Try not to forget about the employees. Its 120 degrees in the plant sometimes, and I feel like you forget about how hot it is to stay out there 12 hours a day.","Not very much time for yourself away from work. Long Hours, and hard work. Lots of overtime that is mandtory.",2,0,2015-08-03T16:00:36.983,2015-08-03,,7444905,FALSE,TRUE,TRUE,,Production Worker,0,"Conroe, TX",Great Pay and great benefits. The guys that work are really great and we look out for each other.,2,Work/Life Balance,5,Overall,3,Culture & Values,0,Diversity & Inclusion,3,Senior Management,5,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Production Tech,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW7444905.htm
Don't be in such a hurry to close a plant and ruin the lives of many long time employees who deeply cared but what you promised and were looking forward to retiring from the same place they had worked almost all their live at.,Plant closed after only 3 years of operations. I was very disappointed as were a lot of employees who thought they would retire from this company. They promised the moon and didn't even get off the ground in our plant until closing. Stating they could not do business in the area as it was not profitable from a business point. We did business in our plant for 28 years before Ball purchased us and we were very profitable.,2,0,2013-11-06T01:03:55.907,2013-11-06,REGULAR,3274818,FALSE,FALSE,TRUE,2013,Store Room Attendant,4,"Gainesville, FL",Get pay and benefits until plant closed.,5,Work/Life Balance,2,Overall,1,Culture & Values,0,Diversity & Inclusion,1,Senior Management,3,Career Opportunities,5,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,The experience with Ball Corporation was very rewarding and challenging.,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW3274818.htm
N/A,"I wouldn't have any complaints that particularly stick out in my mind that I couldn't or wouldn't say about every location of employment, regardless the company or position.",0,0,2017-06-26T03:59:48.477,2017-06-26,REGULAR,15628224,FALSE,TRUE,TRUE,,Stacker,1,"Canton, OH","Over time and experience are abundant here, and he availability to learn is only limited by your commitment. I personally log more ham twelve hours of OT a week, all spent in various positions outreaching into separate areas of experience.",4,Work/Life Balance,5,Overall,3,Culture & Values,0,Diversity & Inclusion,3,Senior Management,5,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,,CEO Approval,TRUE,Business Outlook,A rewarding experience with an abundance of training and Over Time.,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW15628224.htm
n/a,"Great for corporate transactional work and understanding what it is like to work in-house at a big corporation.  If you are trying to be a litigator, this experience probably would not be helpful.",0,0,2020-02-29T12:59:41.697,2020-02-29,PART_TIME,32137512,FALSE,TRUE,TRUE,,Legal Intern,2,"Broomfield, CO","Amazing attorneys.  Throughout the internship, you will be able to work on a diverse array of legal issues and receive hands-on training.",5,Work/Life Balance,5,Overall,5,Culture & Values,0,Diversity & Inclusion,5,Senior Management,5,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,"Great company, amazing attorneys who genuinely want to help you build valuable skills and find post-grad employment!",review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW32137512.htm
N/a,"None so far, it's just like any other job.",3,0,2016-03-27T02:25:13.393,2016-03-27,REGULAR,10054601,FALSE,TRUE,TRUE,,Warehouse,0,"Golden, CO","Great pay hands down, no other place we'll pay you these wages for this kinda work. Benefits are on point, raises every year. 4 days on 4 days off work schedule. One month nights, one month days. You only work half a year",5,Work/Life Balance,5,Overall,4,Culture & Values,0,Diversity & Inclusion,4,Senior Management,4,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Best place in Denver,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW10054601.htm
"To Corporate Management. Cut your losses and start with a fresh team. Stop hiring ""friends and family""  hire qualified applicants. Remove holding a job title for a year. There are quite a few lower job class employees with the skills and experience to fill openings","Poor leadership 
Poor Communication 
Poor execution 
No opportunity for advancement 
2-2-3 12hr shifts. With more than enough forced overtime to cover what you don't make in a raise.
Tiered hourly rate based on ""skill"" that grandfathered the employees from the previous company top rate and has yet to yield a single raise for anyone else. 
One more time Poor Communication.",1,0,2017-09-12T00:20:11.817,2017-09-12,REGULAR,16776962,FALSE,TRUE,TRUE,,Heading Out the Door to Anywhere But Here,1,"Canton, OH","Clean facility
Well ventilated 
You can work hard or hardly,  no one will know the difference or hold you accountable.",2,Work/Life Balance,2,Overall,1,Culture & Values,0,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,,CEO Approval,FALSE,Business Outlook,Save yourself time and energy. Apply elsewhere,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW16776962.htm
,Workplace balance can be a struggle at times.,3,0,2019-04-01T09:39:15.400,2019-04-01,REGULAR,25450333,FALSE,TRUE,TRUE,,Manager,20,"Broomfield, CO",Ball is a strong company with a strong financial grounding in how they do business. The values of integrity and trust are apparent throughout the functions. And the company is focused on positioning Ball (and aluminum packaging) as the most sustainable packaging solution.,3,Work/Life Balance,5,Overall,5,Culture & Values,0,Diversity & Inclusion,5,Senior Management,4,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Great place to work!,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW25450333.htm
Look into some schedule adjustments if the facility is a 24 hour operation. Continue with the above average benefits and wages.,Many facilities were 24/7 with 12 hours shifts and 3/4 schedule which could be problematic for families. Some required overtime.,2,0,2015-05-06T10:33:03.377,2015-05-06,REGULAR,6527724,FALSE,FALSE,TRUE,2011,Chemical Process Maintainer,4,"Milwaukee, WI","Very competitive wages with increases and salaried bonuses, excellent benefits, room for advancement",4,Work/Life Balance,5,Overall,4,Culture & Values,0,Diversity & Inclusion,4,Senior Management,5,Career Opportunities,5,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Solid Company Good Benefits,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW6527724.htm
,13 hour days during the week.,0,0,2022-09-05T10:43:40.767,2022-09-05,REGULAR,68725592,FALSE,FALSE,TRUE,2021,Production Supervisor,0,"Phoenix, AZ",Great teamwork with employees in the plant.,0,Work/Life Balance,4,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Production Supervisor at Ball Corp.,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW68725592.htm
,I don’t have any cons,0,0,2022-08-26T19:13:55.727,2022-08-26,REGULAR,68400664,TRUE,FALSE,TRUE,2018,,2,"Kent, WA",Good paying job for you,2,Work/Life Balance,5,Overall,3,Culture & Values,3,Diversity & Inclusion,2,Senior Management,3,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,,CEO Approval,,Business Outlook,Was laid off due to low production,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW68400664.htm
,Upper management did not fully connect with employees,0,0,2022-12-05T13:23:36.303,2022-12-05,REGULAR,71633788,FALSE,TRUE,TRUE,,Metallurgist,0,"Broomfield, CO",Good Benefits and the pay was decent for industry,0,Work/Life Balance,3,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Metallurgist,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW71633788.htm
,Too much politics Does not give value to employee from the floor,0,0,2022-12-01T20:51:54.040,2022-12-01,REGULAR,71554840,FALSE,TRUE,TRUE,,Quality Manager,0,"Phoenix, AZ",Global company Multiple locations National leader,0,Work/Life Balance,3,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,,Recommend,FALSE,CEO Approval,,Business Outlook,Quality Manager,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW71554840.htm
Hire professional management to manage the company,"Changing org structure, layoffs, job insecurity",0,0,2022-11-10T01:58:26.037,2022-11-10,REGULAR,70952066,FALSE,FALSE,TRUE,2021,Internal Audit Manager,6,"Broomfield, CO",good salary and benefits and envoronment,3,Work/Life Balance,3,Overall,3,Culture & Values,3,Diversity & Inclusion,2,Senior Management,3,Career Opportunities,3,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,ok company,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW70952066.htm
